ID,Jornada,Tela / etapa,Elemento,Texto atual,Texto recomendado,Decisão,Prioridade,Critério aplicado,Condição de exibição,Natureza,Arquivo-fonte
14,Resultado pós-teste,Métricas,Valor,—,—,Manter,Baixa,Clareza e objetividade,Upload não detectado,Fixo condicionado,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
15,Resultado pós-teste,Métricas,Unidade,não detectado,Não foi possível medir,Ajustar,Média,Clareza e objetividade,Upload não detectado,Fixo condicionado,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
16,Resultado pós-teste,Métricas,Ação,Ver métricas detalhadas,Ver detalhes da conexão,Ajustar,Média,Clareza e objetividade,Detalhes recolhidos,Fixo condicionado,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
17,Resultado pós-teste,Métricas,Ação,Ocultar métricas detalhadas,Ocultar detalhes da conexão,Ajustar,Média,Clareza e objetividade,Detalhes expandidos,Fixo condicionado,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
18,Resultado pós-teste,Métricas,Rótulo,Latência,Tempo de resposta,Ajustar,Média,Simplificar termo técnico,Detalhes expandidos,Fixo condicionado,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
19,Resultado pós-teste,Métricas,Rótulo,Oscilação,Variação do tempo de resposta,Ajustar,Média,Clareza e objetividade,Detalhes expandidos,Fixo condicionado,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
20,Resultado pós-teste,Métricas,Rótulo,Perda estimada,Falhas estimadas na conexão,Ajustar,Média,Preservar incerteza,Detalhes expandidos,Fixo condicionado,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
21,Resultado pós-teste,Métricas,Rótulo,Atraso sob carga,Lentidão com a rede ocupada,Ajustar,Média,Clareza e objetividade,Detalhes expandidos,Fixo condicionado,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
22,Resultado pós-teste,Métricas,Unidade,ms,ms,Manter,Baixa,Clareza e objetividade,"Latência, oscilação e atraso sob carga",Fixo,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
23,Resultado pós-teste,Métricas,Unidade,%,%,Manter,Baixa,Clareza e objetividade,Perda estimada,Fixo,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
24,Resultado pós-teste,Métricas,Status,Excelente,Excelente,Manter,Baixa,Clareza e objetividade,Conforme classificação da métrica,Fixo condicionado,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
25,Resultado pós-teste,Métricas,Status,Bom,Bom,Manter,Baixa,Clareza e objetividade,Conforme classificação da métrica,Fixo condicionado,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
26,Resultado pós-teste,Métricas,Status,Regular,Pode melhorar,Ajustar,Média,Clareza e objetividade,Conforme classificação da métrica,Fixo condicionado,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
27,Resultado pós-teste,Métricas,Status,Ruim,Ruim,Manter,Baixa,Clareza e objetividade,Conforme classificação da métrica,Fixo condicionado,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
28,Resultado pós-teste,Métricas,Status,Crítico,Muito ruim,Ajustar,Média,Clareza e objetividade,Conforme classificação da métrica,Fixo condicionado,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
29,Resultado pós-teste,Métricas,Status,Inconclusivo,Não foi possível avaliar,Ajustar,Média,Clareza e objetividade,Métrica sem dado confiável,Fixo condicionado,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
30,Resultado pós-teste,Métricas,Acessibilidade,"{rótulo}: {valor} {unidade}, {veredito}","{rótulo}: {valor} {unidade}, {veredito}",Manter,Baixa,Clareza e objetividade,Cada card de métrica,Template variável,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
31,Resultado pós-teste,Aviso,Callout,Upload não detectado — verifique a conexão,Não consegui medir o envio de dados. Vamos tentar novamente.,Ajustar,Média,Clareza e objetividade,Upload não detectado,Fixo condicionado,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
32,Resultado pós-teste,Aviso,Callout,O teste foi interrompido porque a conexão caiu ou mudou durante a medição. Tente novamente quando a rede estabilizar.,O teste foi interrompido porque a conexão caiu ou mudou durante a medição. Tente novamente quando a rede estabilizar.,Manter,Baixa,Clareza e objetividade,Teste contaminado por mudança de rede,Fixo condicionado,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
33,Resultado pós-teste,Aviso,Callout,Resultado pode conter interferência de outros apps,Outros aplicativos podem ter afetado o resultado.,Ajustar,Média,Preservar incerteza,Teste contaminado por outra causa,Fixo condicionado,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
34,Resultado pós-teste,Experiência,Seção,Experiência de uso,Como sua internet deve funcionar,Ajustar,Média,Clareza e objetividade,Sempre,Fixo,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
35,Resultado pós-teste,Experiência,Perfil,Vídeos em 4K,Vídeos em alta qualidade,Ajustar,Média,Clareza e objetividade,Sempre,Fixo,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
36,Resultado pós-teste,Experiência,Perfil,Jogos online,Jogos online,Manter,Baixa,Clareza e objetividade,Sempre,Fixo,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
37,Resultado pós-teste,Experiência,Perfil,Videochamadas,Chamadas de vídeo,Ajustar,Média,Clareza e objetividade,Sempre,Fixo,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
38,Resultado pós-teste,Experiência,Badge,Ótimo,Ótimo,Manter,Baixa,Clareza e objetividade,Perfil classificado como good,Fixo condicionado,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
39,Resultado pós-teste,Experiência,Badge,Bom,Bom,Manter,Baixa,Clareza e objetividade,Perfil classificado como acceptable,Fixo condicionado,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
40,Resultado pós-teste,Experiência,Badge,Ruim,Ruim,Manter,Baixa,Clareza e objetividade,Perfil classificado como poor,Fixo condicionado,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
41,Resultado pós-teste,Navegação,CTA,Iniciar diagnóstico guiado,Descobrir o que está acontecendo,Ajustar,Média,Clareza e objetividade,Sempre,Fixo,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
42,Resultado pós-teste,Navegação,CTA,Modo gamer,Analisar jogos online,Ajustar,Média,Clareza e objetividade,Sempre,Fixo,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
43,Resultado pós-teste,Navegação,CTA,Ver detalhes técnicos,Ver detalhes da conexão,Ajustar,Média,Clareza e objetividade,Sempre,Fixo,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
44,Resultado pós-teste,Navegação,CTA,Testar novamente,Refazer o teste,Ajustar,Média,Clareza e objetividade,Sempre,Fixo,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
45,Resultado pós-teste,Navegação,CTA,Ir para o início,Voltar ao início,Ajustar,Média,Clareza e objetividade,Sempre,Fixo,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
46,Resultado pós-teste,Motor geral,Título,Sem Dados de Velocidade,Não encontrei um teste recente,Ajustar,Média,Clareza e objetividade,Sem dados de speedtest,Fixo condicionado,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/InternetDiagnosticEngine.kt
47,Resultado pós-teste,Motor geral,Mensagem,Nenhum teste de velocidade disponível para análise.,Não encontrei um teste recente para analisar.,Ajustar,Média,Clareza e objetividade,Sem dados de speedtest,Fixo condicionado,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/InternetDiagnosticEngine.kt
48,Resultado pós-teste,Motor geral,Recomendação,Execute um teste de velocidade para obter o diagnóstico completo.,Faça um teste de velocidade para eu analisar sua conexão.,Ajustar,Média,Clareza e objetividade,Sem dados de speedtest,Fixo condicionado,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/InternetDiagnosticEngine.kt
49,Resultado pós-teste,Motor geral,Título,Internet Indisponível,A internet pode estar sem acesso,Ajustar,Média,Clareza e objetividade,Download não medido,Fixo condicionado,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/InternetDiagnosticEngine.kt
50,Resultado pós-teste,Motor geral,Mensagem,O teste de velocidade não conseguiu medir o download. A internet pode estar sem acesso.,Não consegui medir a velocidade. Sua internet pode estar sem acesso.,Ajustar,Média,Preservar incerteza,Download não medido,Fixo condicionado,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/InternetDiagnosticEngine.kt
51,Resultado pós-teste,Motor geral,Recomendação,"Verifique se outros sites ou apps funcionam. Se não funcionarem, o problema pode ser no roteador ou no provedor.","Veja se outros sites ou aplicativos abrem. Se nada funcionar, o problema pode estar no roteador ou na operadora.",Ajustar,Média,Preservar incerteza,Download não medido,Fixo condicionado,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/InternetDiagnosticEngine.kt
52,Resultado pós-teste,Motor geral,Título,Perda de Pacotes Alta,Muitas falhas na conexão,Ajustar,Média,Clareza e objetividade,Perda ≥ 3% em Wi-Fi,Fixo condicionado,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/InternetDiagnosticEngine.kt
53,Resultado pós-teste,Motor geral,Mensagem,Há perda de pacotes alta ({perda}%). Calls de vídeo e jogos serão gravemente afetados.,Sua conexão está com muitas falhas ({perda}%). Chamadas de vídeo e jogos serão gravemente afetados.,Ajustar,Alta,Clareza e objetividade,Perda ≥ 3% em Wi-Fi,Template variável,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/InternetDiagnosticEngine.kt
54,Resultado pós-teste,Motor geral,Recomendação,"Reinicie o roteador e o modem. Se persistir, contate o provedor.","Reinicie o roteador e o modem. Se persistir, contate a operadora.",Ajustar,Média,Clareza e objetividade,Perda ≥ 3% em Wi-Fi,Fixo condicionado,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/InternetDiagnosticEngine.kt
55,Resultado pós-teste,Motor geral,Título,Perda de Pacotes Alta,Muitas falhas na conexão,Ajustar,Média,Clareza e objetividade,Perda ≥ 3% em rede móvel,Fixo condicionado,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/InternetDiagnosticEngine.kt
56,Resultado pós-teste,Motor geral,Mensagem,Há perda de pacotes alta ({perda}%). Calls de vídeo e jogos serão gravemente afetados.,Sua conexão está com muitas falhas ({perda}%). Chamadas de vídeo e jogos serão gravemente afetados.,Ajustar,Alta,Clareza e objetividade,Perda ≥ 3% em rede móvel,Template variável,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/InternetDiagnosticEngine.kt
57,Resultado pós-teste,Motor geral,Recomendação,"Teste em outro local ou horário. Se persistir, contate a operadora.","Teste em outro local ou horário. Se persistir, contate a operadora.",Manter,Baixa,Clareza e objetividade,Perda ≥ 3% em rede móvel,Fixo condicionado,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/InternetDiagnosticEngine.kt
58,Resultado pós-teste,Motor geral,Título,Perda de Pacotes Moderada,Algumas falhas na conexão,Ajustar,Média,Clareza e objetividade,Perda entre 1% e 3%,Fixo condicionado,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/InternetDiagnosticEngine.kt
59,Resultado pós-teste,Motor geral,Mensagem,Há alguma perda de pacotes ({perda}%). Jogos e chamadas podem ser afetados.,Sua conexão está com algumas falhas ({perda}%). Jogos e chamadas podem ser afetados.,Ajustar,Média,Preservar incerteza,Perda entre 1% e 3%,Template variável,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/InternetDiagnosticEngine.kt
60,Resultado pós-teste,Motor geral,Recomendação,Verifique interferências no Wi-Fi ou instabilidade no link.,Verifique interferências no Wi-Fi ou instabilidade no link.,Manter,Baixa,Clareza e objetividade,Perda entre 1% e 3%,Fixo condicionado,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/InternetDiagnosticEngine.kt
61,Resultado pós-teste,Motor geral,Título,Jitter Elevado,A conexão está oscilando,Ajustar,Alta,Simplificar termo técnico,Jitter acima do limiar,Fixo condicionado,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/InternetDiagnosticEngine.kt
62,Resultado pós-teste,Motor geral,Mensagem,O jitter está alto ({jitter} ms). Chamadas de voz e jogos podem ter instabilidade.,A variação do tempo de resposta está alta ({jitter} ms). Chamadas de voz e jogos podem ter instabilidade.,Ajustar,Alta,Simplificar termo técnico; Preservar incerteza,Jitter acima do limiar,Template variável,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/InternetDiagnosticEngine.kt
63,Resultado pós-teste,Motor geral,Recomendação,Verifique se há outros dispositivos consumindo a rede. Um jitter alto pode indicar congestionamento.,Verifique se há outros dispositivos consumindo a rede. Um variação do tempo de resposta alto pode indicar congestionamento.,Ajustar,Alta,Simplificar termo técnico; Preservar incerteza,Jitter acima do limiar,Fixo condicionado,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/InternetDiagnosticEngine.kt
64,Resultado pós-teste,Motor geral,Título,Latência Alta,A conexão está demorando para responder,Ajustar,Média,Simplificar termo técnico,Latência > 100 ms,Fixo condicionado,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/InternetDiagnosticEngine.kt
65,Resultado pós-teste,Motor geral,Mensagem,"A latência está acima de 100 ms ({latência} ms), acima da referência Anatel RQUAL.","O tempo de resposta está acima de 100 ms ({latência} ms), acima da referência Anatel RQUAL.",Ajustar,Média,Simplificar termo técnico,Latência > 100 ms,Template variável,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/InternetDiagnosticEngine.kt
66,Resultado pós-teste,Motor geral,Recomendação,Latência alta pode ser causada por congestionamento no provedor ou Wi-Fi com sinal fraco.,O tempo de resposta alto pode ser causado por congestionamento na operadora ou Wi-Fi com sinal fraco.,Ajustar,Média,Simplificar termo técnico; Preservar incerteza,Latência > 100 ms,Fixo condicionado,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/InternetDiagnosticEngine.kt
67,Resultado pós-teste,Motor geral,Título,Bufferbloat Crítico,A internet fica muito lenta quando está em uso,Ajustar,Alta,Simplificar termo técnico,Bufferbloat crítico,Fixo condicionado,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/InternetDiagnosticEngine.kt
68,Resultado pós-teste,Motor geral,Mensagem,"O bufferbloat está muito alto ({bufferbloat} ms). Streaming, jogos e chamadas serão gravemente prejudicados mesmo com velocidade adequada.","A lentidão com a rede ocupada está muito alta ({bufferbloat} ms). Streaming, jogos e chamadas serão gravemente prejudicados mesmo com velocidade adequada.",Ajustar,Alta,Simplificar termo técnico; Encurtar,Bufferbloat crítico,Template variável,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/InternetDiagnosticEngine.kt
69,Resultado pós-teste,Motor geral,Recomendação,Verifique se o roteador suporta QoS ou SQM. Reduza o número de dispositivos usando a rede simultaneamente.,Verifique se o roteador suporta priorização de tráfego. Reduza o número de dispositivos usando a rede simultaneamente.,Ajustar,Alta,Simplificar termo técnico,Bufferbloat crítico,Fixo condicionado,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/InternetDiagnosticEngine.kt
70,Resultado pós-teste,Motor geral,Título,Bufferbloat Elevado,A internet fica mais lenta quando está em uso,Ajustar,Alta,Simplificar termo técnico,Bufferbloat elevado,Fixo condicionado,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/InternetDiagnosticEngine.kt
71,Resultado pós-teste,Motor geral,Mensagem,O bufferbloat está elevado ({bufferbloat} ms). Jogos e chamadas podem ter instabilidade sob carga.,A lentidão com a rede ocupada está elevada ({bufferbloat} ms). Jogos e chamadas podem ter instabilidade sob carga.,Ajustar,Alta,Simplificar termo técnico; Preservar incerteza,Bufferbloat elevado,Template variável,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/InternetDiagnosticEngine.kt
72,Resultado pós-teste,Motor geral,Recomendação,Verifique se o roteador suporta QoS ou SQM. Reduza o número de dispositivos usando a rede simultaneamente.,Verifique se o roteador suporta priorização de tráfego. Reduza o número de dispositivos usando a rede simultaneamente.,Ajustar,Alta,Simplificar termo técnico,Bufferbloat elevado,Fixo condicionado,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/InternetDiagnosticEngine.kt
73,Resultado pós-teste,Motor geral,Título,Upload Zerado,Não consegui medir o envio de dados,Ajustar,Média,Clareza e objetividade,Upload = 0,Fixo condicionado,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/InternetDiagnosticEngine.kt
74,Resultado pós-teste,Motor geral,Mensagem,"O upload medido foi 0 Mbps. Isso costuma quebrar videoconferencias, jogos online, trabalho remoto e envio de arquivos.","O upload medido foi 0 Mbps. Isso costuma quebrar chamadas de vídeo, jogos online, trabalho remoto e envio de arquivos.",Ajustar,Média,Clareza e objetividade,Upload = 0,Fixo condicionado,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/InternetDiagnosticEngine.kt
75,Resultado pós-teste,Motor geral,Recomendação,"Verifique se ha algum bloqueio no roteador, QoS mal configurado, ou instabilidade no link. Reinicie o roteador. Se persistir, contate o provedor.","Verifique se há algum bloqueio no roteador, prioridade de tráfego mal configurado, ou instabilidade no link. Reinicie o roteador. Se persistir, contate a operadora.",Ajustar,Alta,Simplificar termo técnico; Encurtar,Upload = 0,Fixo condicionado,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/InternetDiagnosticEngine.kt
76,Resultado pós-teste,Motor geral,Título,Upload Baixo,A velocidade de envio está baixa,Ajustar,Média,Clareza e objetividade,0 < upload < 5 Mbps,Fixo condicionado,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/InternetDiagnosticEngine.kt
77,Resultado pós-teste,Motor geral,Mensagem,O upload está baixo ({upload} Mbps). Videoconferências e envio de arquivos podem ser afetados.,O upload está baixo ({upload} Mbps). Videoconferências e envio de arquivos podem ser afetados.,Manter,Média,Preservar incerteza,0 < upload < 5 Mbps,Template variável,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/InternetDiagnosticEngine.kt
78,Resultado pós-teste,Motor geral,Recomendação,Verifique se há uploads em andamento em outros dispositivos.,Verifique se há uploads em andamento em outros dispositivos.,Manter,Baixa,Clareza e objetividade,0 < upload < 5 Mbps,Fixo condicionado,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/InternetDiagnosticEngine.kt
79,Resultado pós-teste,Motor geral,Título,Download Baixo,A velocidade está baixa,Ajustar,Média,Clareza e objetividade,Download < 25 Mbps,Fixo condicionado,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/InternetDiagnosticEngine.kt
80,Resultado pós-teste,Motor geral,Mensagem,"O download está abaixo de 25 Mbps ({download} Mbps), mínimo recomendado para uso confortável.","O download está abaixo de 25 Mbps ({download} Mbps), o mínimo recomendado para uso confortável.",Ajustar,Média,Clareza e objetividade,Download < 25 Mbps,Template variável,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/InternetDiagnosticEngine.kt
81,Resultado pós-teste,Motor geral,Recomendação,Verifique se o plano contratado entrega essa velocidade e se outros dispositivos estão consumindo a rede.,Verifique se o plano contratado entrega essa velocidade e se outros dispositivos estão consumindo a rede.,Manter,Baixa,Clareza e objetividade,Download < 25 Mbps,Fixo condicionado,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/InternetDiagnosticEngine.kt
82,Resultado pós-teste,Motor geral,Título,Conexão Saudável,Sua conexão está boa,Ajustar,Média,Clareza e objetividade,Nenhum achado,Fixo condicionado,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/InternetDiagnosticEngine.kt
83,Resultado pós-teste,Motor geral,Mensagem,Todos os indicadores de internet estão dentro dos parâmetros normais.,Sua conexão está funcionando bem.,Ajustar,Média,Clareza e objetividade,Nenhum achado,Fixo condicionado,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/InternetDiagnosticEngine.kt
84,Resultado pós-teste,Motor geral,Sufixo de inconclusão,"{mensagem original} Porém, o sinal Wi-Fi fraco pode ser a causa real — o teste pode não refletir o link de internet.","{mensagem original} Porém, o sinal Wi-Fi fraco pode ser a causa real, então o teste pode não refletir o link de internet.",Ajustar,Média,Preservar incerteza,"Há achado, mas o Wi-Fi não é confiável para o teste",Template variável,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/InternetDiagnosticEngine.kt
85,Resultado pós-teste,Motor geral,Recomendação,Aproxime-se do roteador e refaça o teste para um diagnóstico confiável.,"Aproxime-se do roteador e refaça o teste. Assim, consigo avaliar melhor.",Ajustar,Média,Clareza e objetividade,Wi-Fi não confiável,Fixo condicionado,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/InternetDiagnosticEngine.kt
86,Diagnóstico guiado,Cabeçalho,Título,Diagnóstico guiado,Vamos descobrir o que está acontecendo,Ajustar,Média,Clareza e objetividade,Tela inicial,Fixo,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/DiagnosticoGuiadoScreen.kt
87,Diagnóstico guiado,Cabeçalho,Título,{título da situação escolhida},{título da situação escolhida},Manter,Baixa,Clareza e objetividade,Durante as perguntas,Template variável,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/DiagnosticoGuiadoScreen.kt
88,Diagnóstico guiado,Cabeçalho,Título,Resultado do diagnóstico,O que identifiquei,Ajustar,Média,Clareza e objetividade,Resultado,Fixo,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/DiagnosticoGuiadoScreen.kt
89,Diagnóstico guiado,Cabeçalho,Acessibilidade,Voltar,Voltar,Manter,Baixa,Clareza e objetividade,Sempre,Fixo,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/DiagnosticoGuiadoScreen.kt
90,Diagnóstico guiado,Entrada,Pergunta,Qual dessas situações mais parece com o que você está vivendo?,O que está acontecendo com sua internet?,Ajustar,Média,Preservar incerteza,Tela inicial,Fixo,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/DiagnosticoGuiadoScreen.kt
91,Diagnóstico guiado,Perguntas,CTA,Avançar,Continuar,Ajustar,Média,Clareza e objetividade,Primeira pergunta respondida,Fixo,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/DiagnosticoGuiadoScreen.kt
92,Diagnóstico guiado,Perguntas,CTA,Ver resultado,Ver o que identifiquei,Ajustar,Média,Clareza e objetividade,Última pergunta respondida,Fixo,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/DiagnosticoGuiadoScreen.kt
93,Diagnóstico guiado,Seleção de situação,Título da situação,Internet cai ou oscila,A internet cai ou fica instável,Ajustar,Média,Clareza e objetividade,Tela inicial,Fixo,android/core/diagnostico/src/main/kotlin/io/signallq/app/core/diagnostico/ObjetivoDiagnostico.kt
